Code,Faction,Class,KB,D,HK,DD,HD,OP,VP,Honor,Win,Lose,Rol,BE
TK38,Alliance,Mage,0,4,6,17171,3956,,0,260,,1,dps,1
TK38,Alliance,Rogue,0,2,6,11000,8347,1,56,260,,1,dps,1
TK38,Alliance,Mage,0,3,5,36622,14091,,0,257,,1,dps,1
TK38,Horde,Mage,2,0,41,34234,7101,,20,448,1,,dps,1
TK38,Horde,Priest,6,0,41,33525,4915,,60,448,1,,dps,1
TK38,Alliance,Priest,0,4,6,21221,6169,2,72,260,,1,dps,1
TK38,Alliance,Shaman,1,3,3,10452,7745,,10,221,,1,dps,1
TK38,Horde,Paladin,0,0,41,427,61994,,0,448,1,,heal,1
TK38,Horde,Priest,9,1,40,80495,19072,2,504,446,1,,dps,1
TK38,Horde,Hunter,4,3,36,42145,10047,1,48,663,1,,dps,1
TK38,Alliance,Monk,0,4,3,0,81867,1,32,257,,1,heal,1
TK38,Alliance,Demon Hunter,1,4,5,33820,3261,1,60,257,,1,dps,1
TK38,Horde,Shaman,0,0,41,2642,73680,,0,448,1,,heal,1
TK38,Horde,Warrior,6,1,39,59775,7480,2,314,444,1,,dps,1
TK38,Horde,Druid,6,0,41,84645,12062,,60,448,1,,dps,1
TK38,Alliance,Druid,0,5,2,9027,23956,,0,248,,1,heal,1
TK38,Alliance,Mage,0,5,4,39006,14300,4,124,255,,1,dps,1
TK38,Alliance,Hunter,4,5,5,41808,9923,1,72,257,,1,dps,1
TK38,Horde,Paladin,5,0,41,35167,11716,2,384,673,1,,dps,1
TK38,Horde,Rogue,2,1,36,22197,1743,2,112,438,1,,dps,1
TK39,Horde,Death Knight,2,4,16,29815,20363,4,294,211,,1,dps,1
TK39,Horde,Death Knight,5,4,16,55496,12646,1,90,211,,1,dps,1
TK39,Horde,Rogue,3,5,17,64375,9229,,30,213,,1,dps,1
TK39,Alliance,Hunter,2,0,45,36949,2762,,20,1027,1,,dps,1
TK39,Alliance,Rogue,2,3,43,51363,6219,,20,1021,1,,dps,1
TK39,Horde,Druid,0,5,11,37458,21341,3,82,201,,1,dps,1
TK39,Alliance,Warrior,10,1,43,58396,9107,1,370,685,1,,dps,1
TK39,Horde,Shaman,0,5,15,11775,102000,2,66,209,,1,heal,1
TK39,Horde,Priest,0,0,5,5385,31426,,0,150,,1,heal,1
TK39,Horde,Demon Hunter,3,4,13,64724,6589,,30,205,,1,dps,1
TK39,Alliance,Mage,0,3,37,46380,3792,2,74,672,1,,dps,1
TK39,Alliance,Druid,2,4,34,24950,10005,1,166,1001,1,,dps,1
TK39,Alliance,Paladin,0,0,45,9174,129000,,0,690,1,,heal,1
TK39,Alliance,Paladin,13,1,45,214000,30619,,130,690,1,,dps,1
TK39,Horde,Paladin,4,5,17,108000,31205,,40,213,,1,dps,1
TK39,Alliance,Shaman,12,1,43,99841,5216,2,412,1021,1,,dps,1
TK39,Alliance,Priest,1,1,44,23353,142000,2,162,687,1,,heal,1
TK39,Alliance,Warrior,3,4,32,36094,5749,2,150,660,1,,dps,1
TK39,Horde,Demon Hunter,1,4,14,36223,7653,,10,207,,1,dps,1
TK39,Horde,Druid,0,5,16,0,75726,1,28,211,,1,heal,1
TK40,Horde,Warrior,0,2,37,33725,2266,1,82,445,1,,dps,1
TK40,Alliance,Monk,0,5,10,0,27143,3,136,283,,1,heal,1
TK40,Horde,Warlock,7,1,47,58042,20170,,70,690,1,,dps,1
TK40,Horde,Hunter,1,0,47,40931,1401,,10,690,1,,dps,1
TK40,Horde,Paladin,8,1,46,76777,18438,3,358,463,1,,dps,1
TK40,Alliance,Death Knight,0,3,6,17290,17949,1,32,272,,1,dps,1
TK40,Horde,Shaman,1,2,42,16649,107000,3,372,680,1,,heal,1
TK40,Horde,Warlock,5,0,47,52466,5647,,50,465,1,,dps,1
TK40,Horde,Demon Hunter,1,3,37,33043,1535,2,216,445,1,,dps,1
TK40,Alliance,Hunter,1,6,10,30219,6039,1,56,286,,1,dps,1
TK40,Horde,Death Knight,10,2,43,74966,21467,2,262,682,1,,dps,1
TK40,Horde,Hunter,6,1,45,108000,5539,,60,461,1,,dps,1
TK40,Alliance,Druid,0,6,8,0,63814,1,12,278,,1,heal,1
TK40,Horde,Shaman,3,0,47,19154,2611,,30,465,1,,dps,1
TK40,Alliance,Mage,1,4,12,26117,11492,1,40,291,,1,dps,1
TK40,Alliance,Demon Hunter,2,4,9,39954,9699,,20,282,,1,dps,1
TK40,Alliance,Paladin,4,6,9,54729,20736,,40,282,,1,dps,1
TK40,Alliance,Rogue,0,5,10,11495,20355,3,140,283,,1,dps,1
